LSOA11CD,LSOA11NM,Mean_Price
E01000470,Bexley 002F,92737.50
E01000429,Bexley 008B,117528.03
E01004568,Wandsworth 013A,117770.95
E01001703,Greenwich 011E,120583.33
E01001554,Enfield 037C,120922.22
E01000465,Bexley 002E,121699.06
E01000466,Bexley 001A,121699.06
E01033588,Barking and Dagenham 021F,122823.66
E01001145,Croydon 008C,125725.62
E01003971,Southwark 015D,128311.11
E01000093,Barking and Dagenham 022B,129653.27
E01000464,Bexley 002D,130493.06
E01033587,Barking and Dagenham 021E,131554.38
E01000061,Barking and Dagenham 006C,131583.33
E01000105,Barking and Dagenham 014C,132645.27
E01000404,Bexley 004B,132818.83
E01000106,Barking and Dagenham 014D,133653.56
E01003297,Lewisham 003A,133674.50
E01001483,Enfield 025A,136105.56
E01000469,Bexley 001D,136150.30
E01000336,Bexley 003C,138416.80
E01002034,Haringey 037A,138654.67
E01002282,Havering 004B,139533.61
E01000335,Bexley 003B,139557.39
E01002316,Havering 004F,140058.73
E01000008,Barking and Dagenham 015B,140433.33
E01001011,Croydon 019E,140795.83
E01003577,Newham 005C,141328.04
E01033739,Greenwich 002E,142525.99
E01000028,Barking and Dagenham 001B,144243.39
E01000053,Barking and Dagenham 020A,144260.91
E01000380,Bexley 010D,145628.72
E01002604,Hounslow 026A,146500.00
E01001694,Greenwich 001D,146570.76
E01033735,Greenwich 004G,147208.33
E01000010,Barking and Dagenham 015C,147345.83
E01002281,Havering 002C,148178.86
E01000431,Bexley 008D,148855.17
E01000007,Barking and Dagenham 015A,148887.99
E01001013,Croydon 020B,150238.56
E01033744,Greenwich 007G,151522.39
E01003491,Newham 022A,151776.90
E01001631,Greenwich 007B,151833.33
E01004040,Southwark 013C,152357.14
E01033030,Hounslow 025G,152471.08
E01000467,Bexley 001B,152690.03
E01003499,Newham 030A,153078.78
E01000072,Barking and Dagenham 017E,153392.45
E01001051,Croydon 030A,153688.39
E01001052,Croydon 030B,153688.39
E01000333,Bexley 003A,153939.85
E01000095,Barking and Dagenham 018E,153943.01
E01000096,Barking and Dagenham 022D,153943.01
E01033150,Enfield 003G,154270.43
E01033151,Enfield 025G,154270.43
E01000088,Barking and Dagenham 020C,154737.57
E01001576,Greenwich 003B,154817.26
E01002280,Havering 004A,155537.19
E01001331,Ealing 009E,155656.18
E01000057,Barking and Dagenham 012A,155760.27
E01001558,Enfield 033E,155913.89
E01002505,Hillingdon 026D,156339.44
E01002297,Havering 004D,156763.83
E01033745,Greenwich 002I,156890.01
E01001577,Greenwich 003C,156983.17
E01001056,Croydon 030D,157000.00
E01001057,Croydon 030E,157000.00
E01000089,Barking and Dagenham 020D,157032.58
E01000063,Barking and Dagenham 004A,157224.05
E01003761,Redbridge 009C,157264.88
E01002356,Havering 013C,157493.96
E01001705,Greenwich 005A,157679.26
